2.37137,0.00400,232.5515,232.5515
2.37137,0.00426,232.4888,232.4888
2.37137,0.00453,232.4227,232.4227
2.37137,0.00482,232.3531,232.3531
2.37137,0.00513,232.2798,232.2798
2.37137,0.00545,232.2027,232.2027
2.37137,0.00580,232.1218,232.1218
2.37137,0.00618,232.0368,232.0368
2.37137,0.00657,231.9477,231.9477
2.37137,0.00699,231.8544,231.8544
2.37137,0.00744,231.7568,231.7568
2.37137,0.00791,231.6549,231.6549
2.37137,0.00842,231.5487,231.5487
2.37137,0.00896,231.4381,231.4381
2.37137,0.00953,231.3233,231.3233
2.37137,0.01014,231.2043,231.2043
2.37137,0.01079,231.0812,231.0812
2.37137,0.01148,230.9544,230.9544
2.37137,0.01222,230.8242,230.8242
2.37137,0.01300,230.6908,230.6908
2.37137,0.01383,230.5549,230.5549
2.37137,0.01472,230.4171,230.4171
2.37137,0.01566,230.2782,230.2782
2.37137,0.01666,230.1391,230.1391
2.37137,0.01773,230.0010,230.0010
2.37137,0.01886,229.8654,229.8654
2.37137,0.02007,229.7340,229.7340
2.37137,0.02136,229.6086,229.6086
2.37137,0.02272,229.4918,229.4918
2.37137,0.02418,229.3864,229.3864
2.37137,0.02572,229.2955,229.2955
2.37137,0.02737,229.2232,229.2232
2.37137,0.02912,229.1740,229.1740
2.37137,0.03099,229.1531,229.1531
2.37137,0.03297,229.1667,229.1667
2.37137,0.03508,229.2221,229.2221
2.37137,0.03733,229.3276,229.3276
2.37137,0.03972,229.4930,229.4930
2.37137,0.04226,229.7294,229.7294
2.37137,0.04496,230.0501,230.0501
2.37137,0.04784,230.4701,230.4701
2.37137,0.05090,231.0071,231.0071
2.37137,0.05416,231.6813,231.6813
2.37137,0.05763,232.5164,232.5164
2.37137,0.06131,233.5395,233.5395
2.37137,0.06524,234.7823,234.7823
2.37137,0.06941,236.2813,236.2813
2.37137,0.07386,238.0789,238.0789
2.37137,0.07858,240.2239,240.2239
2.37137,0.08361,242.7734,242.7734
2.37137,0.08896,245.7931,245.7931
2.37137,0.09466,249.3595,249.3595
2.37137,0.10072,253.5614,253.5614
2.37137,0.10716,258.5020,258.5020
2.37137,0.11402,264.3014,264.3014
2.37137,0.12132,271.0993,271.0993
2.37137,0.12909,279.0589,279.0589
2.37137,0.13735,288.3707,288.3707
2.37137,0.14614,299.2573,299.2573
2.37137,0.15549,311.9797,311.9797
2.37137,0.16544,326.8443,326.8443
2.37137,0.17603,344.2111,344.2111
2.37137,0.18730,364.5048,364.5048
2.37137,0.19929,388.2269,388.2269
2.37137,0.21204,415.9714,415.9714
2.37137,0.22561,448.4437,448.4437
2.37137,0.24005,486.4847,486.4847
2.37137,0.25542,531.0989,531.0989
2.37137,0.27177,583.4917,583.4917
2.37137,0.28916,645.1148,645.1148
2.37137,0.30767,717.7241,717.7241
2.37137,0.32736,803.4532,803.4532
2.37137,0.34831,904.9080,904.9080
2.37137,0.37060,1025.2895,1025.2895
2.37137,0.39432,1168.5532,1168.5532
2.37137,0.41956,1339.6208,1339.6208
2.37137,0.44642,1544.6618,1544.6618
2.37137,0.47499,1791.4745,1791.4745
2.37137,0.50539,2090.0078,2090.0078
2.37137,0.53774,2453.0866,2453.0866
2.37137,0.57215,2897.4383,2897.4383
2.37137,0.60877,3445.1738,3445.1738
2.37137,0.64774,4125.9714,4125.9714
2.37137,0.68919,4980.3844,4980.3844
2.37137,0.73330,6065.0060,6065.0060
2.37137,0.78024,7460.8421,7460.8421
2.37137,0.83018,9287.5314,9287.5314
2.37137,0.88331,11728.9815,11728.9815
2.37137,0.93985,15083.4692,15083.4692
2.37137,1.00000,19873.5283,19873.5283
2.41994,0.00400,232.8611,232.8611
2.41994,0.00426,232.8180,232.8180
2.41994,0.00453,232.7728,232.7728
2.41994,0.00482,232.7254,232.7254
2.41994,0.00513,232.6756,232.6756
2.41994,0.00545,232.6236,232.6236
2.41994,0.00580,232.5693,232.5693
2.41994,0.00618,232.5125,232.5125
2.41994,0.00657,232.4534,232.4534
2.41994,0.00699,232.3920,232.3920
2.41994,0.00744,232.3283,232.3283
2.41994,0.00791,232.2623,232.2623
2.41994,0.00842,232.1942,232.1942
2.41994,0.00896,232.1242,232.1242
2.41994,0.00953,232.0523,232.0523
2.41994,0.01014,231.9789,231.9789
2.41994,0.01079,231.9043,231.9043
2.41994,0.01148,231.8288,231.8288
2.41994,0.01222,231.7530,231.7530
2.41994,0.01300,231.6773,231.6773
2.41994,0.01383,231.6026,231.6026
2.41994,0.01472,231.5296,231.5296
2.41994,0.01566,231.4593,231.4593
2.41994,0.01666,231.3930,231.3930
2.41994,0.01773,231.3319,231.3319
2.41994,0.01886,231.2778,231.2778
2.41994,0.02007,231.2325,231.2325
2.41994,0.02136,231.1983,231.1983
2.41994,0.02272,231.1779,231.1779
2.41994,0.02418,231.1742,231.1742
2.41994,0.02572,231.1908,231.1908
2.41994,0.02737,231.2319,231.2319
2.41994,0.02912,231.3023,231.3023
2.41994,0.03099,231.4074,231.4074
2.41994,0.03297,231.5537,231.5537
2.41994,0.03508,231.7487,231.7487
2.41994,0.03733,232.0010,232.0010
2.41994,0.03972,232.3204,232.3204
2.41994,0.04226,232.7184,232.7184
2.41994,0.04496,233.2084,233.2084
2.41994,0.04784,233.8055,233.8055
2.41994,0.05090,234.5273,234.5273
2.41994,0.05416,235.3944,235.3944
2.41994,0.05763,236.4300,236.4300
2.41994,0.06131,237.6614,237.6614
2.41994,0.06524,239.1199,239.1199
2.41994,0.06941,240.8415,240.8415
2.41994,0.07386,242.8682,242.8682
