1,6.7518,0,0,0
1,6.86108,1,1,0
1,6.9717,2,2,0
1,7.08361,3,3,0
1,7.19674,4,4,0
1,7.31104,5,5,0
2,7.42645,6,6,0
3,7.54293,7,7,0
3,7.66042,8,8,0
4,7.77887,9,9,0
5,7.89825,10,10,0
6,8.01851,11,11,0
7,8.13962,12,12,0
8,8.26153,13,13,0
1,6.84691,14,0,1
1,6.9547,15,1,1
1,7.06385,16,2,1
1,7.17433,17,3,1
1,7.28605,18,4,1
2,7.39897,19,5,1
3,7.51303,20,6,1
3,7.62818,21,7,1
4,7.74438,22,8,1
5,7.86157,23,9,1
6,7.97971,24,10,1
7,8.09876,25,11,1
8,8.21869,26,12,1
9,8.33944,27,13,1
1,6.94379,28,0,2
1,7.05009,29,1,2
1,7.1578,30,2,2
1,7.26684,31,3,2
2,7.37716,32,4,2
2,7.48871,33,5,2
3,7.60142,34,6,2
4,7.71526,35,7,2
5,7.83016,36,8,2
5,7.94608,37,9,2
6,8.06299,38,10,2
7,8.18083,39,11,2
8,8.29957,40,12,2
9,8.41917,41,13,2
1,7.04237,42,0,3
1,7.1472,43,1,3
1,7.25347,44,2,3
2,7.36109,45,3,3
2,7.47002,46,4,3
3,7.5802,47,5,3
4,7.69158,48,6,3
5,7.80409,49,7,3
5,7.91771,50,8,3
6,8.03237,51,9,3
7,8.14804,52,10,3
8,8.26466,53,11,3
9,8.38222,54,12,3
9,8.50065,55,13,3
1,7.14257,56,0,4
1,7.24596,57,1,4
1,7.35079,58,2,4
2,7.45701,59,3,4
3,7.56456,60,4,4
3,7.67338,61,5,4
4,7.78342,62,6,4
5,7.89463,63,7,4
6,8.00696,64,8,4
7,8.12036,65,9,4
8,8.2348,66,10,4
9,8.35021,67,11,4
9,8.46657,68,12,4
10,8.58385,69,13,4
1,7.24433,70,0,5
1,7.34629,71,1,5
2,7.44971,72,2,5
3,7.55454,73,3,5
3,7.66072,74,4,5
4,7.76819,75,5,5
5,7.87691,76,6,5
6,7.98682,77,7,5
7,8.09787,78,8,5
8,8.21001,79,9,5
9,8.32321,80,10,5
9,8.43742,81,11,5
10,8.5526,82,12,5
10,8.6687,83,13,5
1,7.34759,84,0,6
2,7.44813,85,1,6
3,7.55015,86,2,6
3,7.65361,87,3,6
4,7.75843,88,4,6
5,7.86457,89,5,6
6,7.97198,90,6,6
7,8.08059,91,7,6
8,8.19037,92,8,6
8,8.30127,93,9,6
9,8.41324,94,10,6
9,8.52624,95,11,6
10,8.64023,96,12,6
10,8.75518,97,13,6
2,7.45227,98,0,7
3,7.55142,99,1,7
3,7.65207,100,2,7
4,7.75417,101,3,7
5,7.85765,102,4,7
5,7.96247,103,5,7
6,8.06857,104,6,7
7,8.1759,105,7,7
8,8.28441,106,8,7
9,8.39407,107,9,7
9,8.50482,108,10,7
10,8.61662,109,11,7
10,8.72943,110,12,7
10,8.84321,111,13,7
3,7.55833,112,0,8
3,7.65611,113,1,8
4,7.7554,114,2,8
5,7.85615,115,3,8
5,7.95831,116,4,8
6,8.06182,117,5,8
7,8.16662,118,6,8
8,8.27268,119,7,8
9,8.37995,120,8,8
9,8.48837,121,9,8
10,8.5979,122,10,8
10,8.70851,123,11,8
10,8.82014,124,12,8
10,8.93277,125,13,8
3,7.66571,126,0,9
4,7.76213,127,1,9
5,7.86008,128,2,9
5,7.95951,129,3,9
6,8.06035,130,4,9
7,8.16257,131,5,9
8,8.2661,132,6,9
9,8.3709,133,7,9
9,8.47692,134,8,9
10,8.58412,135,9,9
10,8.69244,136,10,9
10,8.80186,137,11,9
10,8.91233,138,12,9
10,9.02381,139,13,9
4,7.77434,140,0,10
5,7.86943,141,1,10
6,7.96606,142,2,10
6,8.06419,143,3,10
7,8.16374,144,4,10
8,8.26468,145,5,10
9,8.36694,146,6,10
9,8.4705,147,7,10
10,8.57528,148,8,10
10,8.68127,149,9,10
10,8.7884,150,10,10
10,8.89663,151,11,10
10,9.00594,152,12,10
10,9.11627,153,13,10
